epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2232.68,1.54642,1.22997,1.44521,0.83058,0.75028,0.8423,0.41196,1.58826,1.39092,1.63155,0.000900844,0.000900844,0.000900844
43,2270.19,1.51972,1.20624,1.43803,0.86716,0.83932,0.88471,0.46826,1.53959,1.26535,1.57708,0.000896127,0.000896127,0.000896127
44,2327.23,1.54197,1.2001,1.44643,0.82414,0.87297,0.8792,0.47993,1.53059,1.24418,1.55701,0.000891313,0.000891313,0.000891313
45,2388.97,1.47264,1.16834,1.41167,0.92261,0.80232,0.87777,0.46542,1.5143,1.28852,1.56848,0.000886404,0.000886404,0.000886404
46,2457.32,1.53778,1.20476,1.44531,0.86716,0.81777,0.87229,0.44999,1.52468,1.30867,1.58282,0.000881401,0.000881401,0.000881401
47,2530,1.48405,1.15067,1.39897,0.89722,0.8444,0.89879,0.47737,1.46899,1.22275,1.54032,0.000876305,0.000876305,0.000876305
48,2598.7,1.51583,1.17614,1.44664,0.85359,0.86241,0.89417,0.48954,1.48095,1.19563,1.5266,0.000871117,0.000871117,0.000871117
49,2666.36,1.54338,1.1749,1.4498,0.8629,0.78958,0.85718,0.4686,1.50677,1.22302,1.56747,0.000865839,0.000865839,0.000865839
50,2723.93,1.47079,1.10122,1.39675,0.8341,0.81815,0.87053,0.45531,1.52522,1.24367,1.60021,0.000860473,0.000860473,0.000860473
51,2774.1,1.51456,1.17946,1.44598,0.84832,0.83243,0.86417,0.45775,1.5245,1.28875,1.61783,0.000855018,0.000855018,0.000855018
52,2842.22,1.5059,1.11625,1.37544,0.84917,0.81737,0.86017,0.45242,1.51743,1.32665,1.60739,0.000849477,0.000849477,0.000849477
53,2910.51,1.49882,1.19475,1.43158,0.95984,0.7888,0.90951,0.48754,1.49661,1.31662,1.56208,0.000843851,0.000843851,0.000843851
54,2978.09,1.51737,1.20159,1.42893,0.97505,0.80202,0.90668,0.49021,1.48538,1.28006,1.5373,0.000838141,0.000838141,0.000838141
55,3046.47,1.46748,1.17377,1.39266,0.8841,0.816,0.84848,0.445,1.48359,1.24387,1.54178,0.000832349,0.000832349,0.000832349
56,3114.79,1.54533,1.16711,1.43585,0.8676,0.83063,0.84264,0.46465,1.44626,1.20926,1.50966,0.000826477,0.000826477,0.000826477
57,3168.29,1.47893,1.14935,1.36147,0.88966,0.80463,0.88921,0.46023,1.47711,1.23042,1.52921,0.000820525,0.000820525,0.000820525
58,3205.49,1.49604,1.1544,1.38435,0.84007,0.79112,0.86914,0.45849,1.48825,1.21997,1.53434,0.000814495,0.000814495,0.000814495
59,3263.28,1.46763,1.15218,1.41382,0.90658,0.83089,0.903,0.48966,1.40526,1.17368,1.50077,0.000808389,0.000808389,0.000808389
60,3331.25,1.49919,1.16334,1.4597,0.90785,0.83069,0.88903,0.50123,1.38551,1.17411,1.48865,0.000802208,0.000802208,0.000802208
61,3399.73,1.49044,1.16956,1.42954,0.8658,0.82917,0.88524,0.52593,1.35918,1.19359,1.46996,0.000795954,0.000795954,0.000795954
62,3468.97,1.48543,1.12263,1.41119,0.89133,0.79611,0.87469,0.5164,1.42283,1.24446,1.51066,0.000789628,0.000789628,0.000789628
63,3538.67,1.45553,1.20396,1.43305,0.91732,0.7888,0.89049,0.5277,1.38555,1.23845,1.49967,0.000783231,0.000783231,0.000783231
64,3607.33,1.4602,1.1057,1.39413,0.94196,0.78838,0.89267,0.51582,1.39443,1.20371,1.48464,0.000776766,0.000776766,0.000776766
